# method	path	auth	kind	feature
GET	/ping	public	http	system
GET	/api/docs	public	http	docs
GET	/api/docs/assets/*filepath	public	http	docs
POST	/api/auth/login	public	http	auth
POST	/api/rotateip	public	http	device
OPTIONS	/api/logs/stream	public	http	logs
GET	/api/websheets/:id	public	websheet	e911
GET	/api/websheets/:id/proxy	public	websheet	e911
POST	/api/websheets/:id/proxy	public	websheet	e911
PUT	/api/websheets/:id/proxy	public	websheet	e911
PATCH	/api/websheets/:id/proxy	public	websheet	e911
DELETE	/api/websheets/:id/proxy	public	websheet	e911
GET	/api/websheets/:id/proxy/*target	public	websheet	e911
POST	/api/websheets/:id/proxy/*target	public	websheet	e911
PUT	/api/websheets/:id/proxy/*target	public	websheet	e911
PATCH	/api/websheets/:id/proxy/*target	public	websheet	e911
DELETE	/api/websheets/:id/proxy/*target	public	websheet	e911
POST	/api/websheets/:id/callback	public	websheet	e911
POST	/api/websheets/:id/done	public	websheet	e911
POST	/api/system/uninstall	bearer	http	system
GET	/api/openapi.yaml	bearer	http	docs
GET	/api/openapi.json	bearer	http	docs
GET	/api/dashboard/devices	bearer	http	dashboard
GET	/api/devices/:device_id/status	bearer	http	dashboard
GET	/api/health	bearer	http	system
GET	/api/traffic/analysis	bearer	http	dashboard
POST	/api/sms/send	bearer	http	sms
GET	/api/sms/delivery/:message_id	bearer	http	sms
GET	/api/sms/contacts	bearer	http	sms
GET	/api/sms/thread	bearer	http	sms
DELETE	/api/sms/messages/:id	bearer	http	sms
DELETE	/api/sms/thread	bearer	http	sms
GET	/api/settings/notifications	bearer	http	settings
PUT	/api/settings/notifications	bearer	http	settings
POST	/api/settings/notifications/webhook/test	bearer	http	settings
POST	/api/settings/notifications/bark/test	bearer	http	settings
POST	/api/settings/notifications/email/test	bearer	http	settings
POST	/api/settings/password	bearer	http	settings
GET	/api/system/info	bearer	http	system
GET	/api/system/update/check	bearer	http	system
POST	/api/system/update/apply	bearer	http	system
GET	/api/devices	bearer	http	device
POST	/api/devices	bearer	http	device
GET	/api/devices/discovered	bearer	http	device
POST	/api/device-mgmt/discovered/fix-usbnet	bearer	http	device
POST	/api/devices/actions/rescan	bearer	http	device
GET	/api/devices/:device_id/overview/stream	bearer	sse	device
GET	/api/devices/:device_id/overview	bearer	http	device
GET	/api/devices/:device_id/config	bearer	http	device
PUT	/api/devices/:device_id	bearer	http	device
DELETE	/api/devices/:device_id	bearer	http	device
POST	/api/devices/:device_id/actions/refresh	bearer	http	device
POST	/api/devices/:device_id/actions/reboot	bearer	http	device
POST	/api/devices/:device_id/actions/at	bearer	http	device
POST	/api/devices/:device_id/actions/ussd	bearer	http	ussd
POST	/api/devices/:device_id/actions/ussd/continue	bearer	http	ussd
POST	/api/devices/:device_id/actions/ussd/cancel	bearer	http	ussd
PATCH	/api/devices/:device_id/usbnet-mode	bearer	http	device
PATCH	/api/devices/:device_id/flight-mode	bearer	http	device
PATCH	/api/devices/:device_id/network	bearer	http	device
GET	/api/cards/policies	bearer	http	card-policy
GET	/api/cards/:iccid/policy	bearer	http	card-policy
PUT	/api/cards/:iccid/policy	bearer	http	card-policy
GET	/api/devices/:device_id/operator_selection/scan	bearer	http	operator
GET	/api/devices/:device_id/operator_selection/scan/stream	bearer	sse	operator
GET	/api/devices/:device_id/operator_selection	bearer	http	operator
POST	/api/devices/:device_id/operator_selection	bearer	http	operator
GET	/api/proxy-instances/overview	bearer	http	proxy
PUT	/api/proxy-instances/config	bearer	http	proxy
GET	/api/proxy-instances/:instance_id	bearer	http	proxy
POST	/api/proxy-instances/:instance_id/actions/start	bearer	http	proxy
POST	/api/proxy-instances/:instance_id/actions/stop	bearer	http	proxy
POST	/api/proxy-instances/:instance_id/actions/restart	bearer	http	proxy
GET	/api/upstream-proxies	bearer	http	upstream-proxy
POST	/api/upstream-proxies	bearer	http	upstream-proxy
PUT	/api/upstream-proxies/:proxy_id	bearer	http	upstream-proxy
DELETE	/api/upstream-proxies/:proxy_id	bearer	http	upstream-proxy
POST	/api/upstream-proxies/:proxy_id/actions/probe	bearer	http	upstream-proxy
GET	/api/upstream-proxy-countries	bearer	http	upstream-proxy
GET	/api/upstream-proxy-country-rules	bearer	http	upstream-proxy
PUT	/api/upstream-proxy-country-rules/:country_code	bearer	http	upstream-proxy
DELETE	/api/upstream-proxy-country-rules/:country_code	bearer	http	upstream-proxy
GET	/api/devices/:device_id/esim	bearer	http	esim
GET	/api/devices/:device_id/esim/profiles	bearer	http	esim
GET	/api/devices/:device_id/esim/notifications	bearer	http	esim
POST	/api/devices/:device_id/esim/notifications/:sequence/actions/retry	bearer	http	esim
POST	/api/devices/:device_id/esim/actions/switch	bearer	http	esim
GET	/api/devices/:device_id/esim/eids	bearer	http	esim
GET	/api/devices/:device_id/esim/chip-info	bearer	http	esim
GET	/api/devices/:device_id/esim/actions/download	bearer	sse	esim
PATCH	/api/devices/:device_id/esim/profiles/:iccid	bearer	http	esim
DELETE	/api/devices/:device_id/esim/profiles/:iccid	bearer	http	esim
PATCH	/api/devices/:device_id/vowifi	bearer	http	vowifi
POST	/api/devices/:device_id/vowifi/actions/reconnect	bearer	http	vowifi
POST	/api/devices/:device_id/vowifi/e911/websheet	bearer	http	e911
GET	/api/logs/stream	bearer	sse	logs
GET	/api/logs/history	bearer	http	logs
